Anti-protesters,Married_women_obedience,Strongman_as_Leader,Anti_LGBT,Pro_Authorities,Religion_no_influence_in_good_person,Lack_traditional_values_hurt_country,Nudist_camps_OK,Freedom_speech_is_good_even if_upsets_people,Fatalism_regarding_perceived_lack_of_moral_values,Sexual_political_diversity_OK,Adherence_to_old_values,Admiration_for_early_social_cause_fighters,Faith_in_powerful_leader,Best_in_humanity_those_who_challenge_old_ways ,Anti-abortion_and_antipornography,Radical_immorality_punished_law,Womens_place_is_wherever_she_wants,Strong_conformity_rules_government_authority,Not_one_correct_way_to_live_life,ÊHomosexuals_feminists_praised_for_defy_traditional_values,Silencing_voices_social_issues_brings_order,Extraverted,Critical,Dependable,Anxious,Open_new_experiences,Reserved,Sympathetic,Disorganized,Calm,Conventional,IP_country,education_1lesshighschool_2highschool_3uni_4grad,living_setting_1rural_2suburban_2urban,gender_1male_2female_3other,english_native,age,hand_1right_2left_3ambi,religion_1agnostic_2atheist_3buddhist_4catholic_5mormon_6protestant_7christian_8hindu_9jewish_10muslim_11sikh_12other,orientation_1hetero_2bi_3homo_4asexual_5other,race_1asian_2arab_3black_4aborigen_5nativeamerican_6white_7other,voted,marital_1never_2current_3previous,familysize
2,1,2,9,3,9,2,5,8,2,9,2,8,2,8,1,1,9,1,9,5,1,6,5,6,4,6,2,6,3,7,6,,3,2,2,1,21,3,1,1,4,1,1,3
3,1,2,9,1,9,2,8,9,2,8,5,7,1,8,1,1,9,2,9,5,4,1,6,3,5,5,6,3,6,4,6,,2,3,1,2,20,1,4,1,4,2,1,2
1,1,1,8,1,9,2,5,8,3,9,3,5,2,7,1,4,6,1,9,3,1,2,3,5,1,5,6,5,2,6,2,,2,3,1,1,17,2,12,1,5,2,1,2
6,1,3,9,6,8,3,6,6,5,7,4,8,6,5,1,2,9,2,7,8,2,5,6,3,2,6,3,6,5,5,3,,3,3,1,1,19,1,1,1,4,1,1,3
1,1,1,8,2,8,1,9,9,1,9,1,9,1,9,1,1,9,1,9,5,1,6,7,6,3,7,4,6,5,6,2,,3,2,1,1,22,1,6,1,4,2,1,2
7,6,8,5,2,9,7,7,9,7,9,7,6,7,3,1,4,1,2,9,2,5,5,6,5,3,7,6,7,6,3,1,,1,1,1,1,17,1,7,1,4,2,1,3
3,3,7,5,3,7,5,8,5,6,9,6,3,6,4,1,2,7,3,7,1,4,2,7,7,1,5,6,2,2,6,3,,2,2,1,1,18,1,1,1,4,1,1,2
5,7,1,9,5,3,1,5,7,6,9,5,9,9,5,1,7,7,3,8,1,8,4,7,5,5,7,5,5,5,5,1,,3,2,1,2,22,1,3,2,4,2,1,0
9,8,9,3,9,3,9,1,5,9,1,9,1,9,1,9,9,2,9,2,1,9,5,7,7,1,2,5,2,5,6,2,,2,2,1,1,16,1,4,1,4,2,1,2
3,1,2,9,5,9,2,7,8,1,8,2,7,4,7,1,4,9,2,9,7,3,5,4,5,6,7,7,7,4,3,1,,2,2,2,1,21,2,9,5,4,1,1,2
4,1,1,9,3,5,3,5,7,4,9,3,8,3,5,1,2,9,3,9,5,2,3,2,3,6,6,3,7,7,4,2,,3,3,2,1,24,1,1,5,4,1,1,2
1,1,1,9,1,9,1,9,9,1,9,1,8,1,9,1,1,9,1,9,8,1,1,6,6,7,6,6,2,2,2,1,,2,2,1,1,36,3,2,5,4,1,1,3
2,1,1,9,2,9,1,4,9,1,9,2,9,2,9,1,1,9,1,9,9,1,2,5,2,6,7,6,6,7,5,1,,2,1,1,1,20,1,2,1,4,1,1,1
3,1,1,7,1,9,1,6,9,1,9,1,7,2,9,1,1,8,1,9,2,2,6,6,7,2,7,6,7,2,7,2,,3,2,1,2,20,1,4,1,5,2,1,2
6,7,9,3,8,3,9,2,2,8,5,7,5,9,3,5,5,3,8,3,1,8,4,5,5,3,5,7,6,5,6,3,,2,3,1,1,19,1,4,1,4,1,1,3
8,6,7,9,7,9,5,3,6,5,9,7,6,7,6,8,6,9,6,9,2,7,5,5,7,2,6,7,6,5,7,2,,2,3,1,1,19,1,4,2,4,2,1,2
2,1,1,8,2,8,2,8,7,2,7,5,5,2,5,2,2,9,2,4,6,2,2,2,3,5,5,6,6,5,4,4,,4,2,2,1,61,1,12,1,4,2,2,1
4,3,9,7,5,7,9,9,9,5,7,8,3,9,3,1,9,7,9,9,2,9,6,6,7,4,7,7,5,2,6,3,,3,2,1,2,46,1,1,1,4,2,3,2
6,7,8,2,7,3,9,1,8,8,4,8,4,8,4,7,7,2,5,3,1,7,4,5,6,3,3,6,5,2,6,4,,2,1,1,1,19,1,7,1,4,2,1,6
7,2,7,5,6,7,0,5,6,6,6,5,6,7,6,5,7,6,6,5,3,7,7,4,7,2,5,4,5,3,6,3,,2,2,1,1,18,1,7,1,4,2,1,1
6,1,1,9,3,7,1,9,9,2,9,5,9,1,8,2,3,9,2,8,8,1,1,4,5,4,5,7,5,5,5,5,,4,2,1,1,57,1,6,1,4,2,2,1
3,1,1,9,3,9,6,9,9,3,8,2,9,7,8,1,5,9,2,9,8,3,6,5,4,6,6,2,5,7,2,1,,3,3,2,2,35,1,12,2,4,2,1,1
3,1,7,9,1,9,5,1,9,7,7,4,7,6,7,1,1,9,2,9,9,8,1,7,4,7,1,7,1,4,1,7,,1,3,1,1,16,1,2,2,1,2,1,2
3,1,1,9,2,9,1,7,9,1,9,1,9,1,9,1,1,9,1,9,9,1,3,5,4,5,6,4,6,5,2,2,,0,2,1,1,34,2,2,1,4,1,2,3
5,4,9,9,7,9,8,8,6,6,7,7,8,9,5,3,6,3,9,6,1,9,3,4,7,2,4,7,3,2,7,2,,2,2,1,2,18,1,12,1,4,2,1,1
3,1,2,9,3,7,3,8,9,2,9,4,7,4,7,1,2,9,3,9,8,2,4,3,6,2,6,5,6,3,6,2,,2,2,1,1,33,1,2,1,4,1,1,2
1,1,1,0,1,8,1,4,9,4,0,5,9,5,8,1,4,9,2,9,9,1,2,5,3,7,5,5,3,6,1,7,,2,1,2,1,28,1,1,1,4,2,1,2
2,1,1,1,2,1,1,7,9,2,8,4,9,1,8,2,2,9,2,9,8,2,4,5,5,5,6,3,6,5,4,2,,4,3,1,1,67,2,1,1,4,2,2,1
1,9,2,5,9,7,7,1,8,3,8,9,1,8,1,1,5,9,7,9,1,7,5,1,7,5,5,2,7,1,7,2,,3,1,2,1,41,1,4,1,4,1,2,2
3,1,4,8,3,7,1,9,9,4,9,2,9,3,8,1,1,9,1,8,7,2,4,5,3,7,7,6,5,6,2,2,,2,2,2,1,18,1,2,1,4,2,1,2
4,1,1,9,2,9,2,7,8,2,9,2,9,3,7,1,3,8,2,9,6,3,7,5,5,1,7,1,3,7,6,2,,2,1,1,1,18,1,2,1,4,1,1,4
5,2,1,9,1,5,2,8,6,1,9,1,5,1,5,1,1,9,2,8,5,1,1,7,6,4,6,7,1,1,5,6,,2,3,1,1,35,1,2,1,5,1,1,3
8,9,9,9,7,8,9,8,8,8,9,8,2,9,8,6,8,8,8,8,9,6,6,3,5,5,6,3,6,5,5,3,,4,3,2,1,31,1,4,1,1,1,1,6
3,6,4,8,2,9,2,9,4,8,8,7,7,5,6,3,3,3,3,9,3,5,6,6,6,6,6,6,6,4,5,5,,2,3,1,1,17,1,2,1,4,2,1,4
6,3,8,2,4,3,7,3,4,8,3,6,3,6,7,6,7,3,6,6,1,7,4,3,6,2,5,6,3,2,6,2,,2,2,1,1,18,1,4,1,4,2,1,3
3,1,2,9,4,9,1,9,9,1,9,1,8,1,8,1,1,9,1,9,9,1,2,2,6,7,6,7,5,3,3,2,,3,2,2,1,27,2,2,2,1,2,1,3
5,1,1,9,3,9,1,9,9,1,9,1,9,1,9,1,1,9,2,9,9,2,1,5,7,5,5,5,5,5,5,5,,3,3,1,1,27,1,2,1,1,1,1,3
7,1,1,9,4,3,7,7,9,7,7,3,8,7,8,1,7,1,3,7,8,3,5,6,6,6,6,7,4,5,5,1,,3,3,1,2,31,2,1,1,0,1,1,2
3,1,2,7,5,7,4,5,6,3,6,4,6,6,5,1,1,9,4,9,5,2,7,7,6,4,5,1,5,3,5,5,,3,2,1,1,39,1,4,1,4,1,2,3
3,4,8,3,6,3,9,5,5,8,6,6,4,9,4,3,6,6,8,8,4,6,7,2,7,2,7,1,5,1,7,2,,2,2,1,1,38,1,7,1,4,1,2,2
2,1,1,9,4,6,3,8,9,1,9,5,8,3,5,3,1,9,3,9,9,1,3,5,4,6,5,5,4,5,2,4,,2,3,1,1,22,1,12,1,5,2,1,2
9,9,9,4,1,5,9,1,3,9,4,7,2,9,1,9,9,2,9,5,2,9,5,7,6,7,4,3,7,2,1,6,,1,2,1,1,16,1,1,1,4,2,1,2
7,1,3,8,7,5,6,5,4,7,7,7,2,9,3,4,7,8,4,8,6,6,4,1,6,3,7,6,7,1,5,2,,3,0,1,1,47,1,6,1,4,2,1,2
6,1,6,8,4,7,4,6,6,4,8,6,7,6,7,1,6,9,7,8,5,4,5,2,6,1,7,5,7,6,6,6,,3,0,1,1,47,1,6,1,4,2,1,2
6,5,9,3,8,8,9,2,4,7,7,6,4,8,5,4,5,7,8,2,4,6,5,5,7,2,4,5,2,1,7,4,,2,2,1,1,15,1,1,0,4,2,1,3
7,9,9,5,4,7,9,5,4,9,4,9,4,9,6,1,9,7,6,7,1,9,3,5,7,1,3,7,7,2,7,2,,2,1,1,2,17,1,12,1,4,2,1,4
9,7,8,5,7,4,8,5,3,6,6,7,1,8,1,2,8,6,5,4,3,9,7,6,7,5,6,4,4,2,5,5,,2,3,1,1,21,1,7,2,4,1,1,1
4,4,5,6,5,7,6,7,7,7,7,5,5,5,6,6,6,6,5,8,5,5,5,1,6,1,7,5,6,4,5,4,,3,3,1,1,38,2,6,1,4,2,2,4
5,1,1,9,1,9,1,8,8,1,8,2,8,1,8,1,1,9,1,9,9,1,3,1,5,2,7,5,7,3,7,1,,4,1,2,1,47,2,2,1,4,1,2,3
6,1,6,1,6,5,9,7,4,9,6,7,4,9,1,4,6,9,6,4,1,4,6,1,6,3,7,5,7,1,7,1,,3,0,2,1,48,1,7,1,5,1,2,6
8,5,4,1,6,9,1,4,6,6,6,6,2,6,2,1,3,4,7,6,1,6,1,7,5,3,1,5,1,7,5,1,,3,2,1,1,23,1,2,1,4,1,1,2
9,9,9,1,9,1,9,5,1,9,1,9,1,9,1,9,9,1,9,1,1,9,3,3,4,2,6,6,4,5,7,3,,1,2,1,1,15,3,2,1,4,2,1,2
2,2,2,9,2,9,2,9,9,2,8,3,9,4,9,1,1,9,2,9,8,2,5,5,6,3,5,7,5,5,7,7,,2,2,1,1,23,1,2,1,4,1,1,2
1,1,1,9,1,9,9,9,9,1,9,1,9,1,9,1,2,9,1,9,9,1,2,4,6,7,6,7,6,5,2,1,,4,2,1,1,35,1,2,1,4,2,2,2
9,9,9,1,9,9,9,1,1,9,1,9,1,9,1,9,9,1,9,1,1,9,4,5,7,5,1,6,1,1,7,6,,2,2,1,1,19,1,4,1,1,1,1,2
5,2,2,9,1,5,1,9,8,1,9,3,8,7,8,1,3,9,1,5,8,1,4,6,3,4,6,6,3,4,7,2,,2,2,1,1,20,1,12,1,4,1,1,2
2,5,1,9,1,9,1,8,9,1,9,8,9,8,8,1,1,4,7,9,1,3,2,5,3,7,2,7,7,6,4,1,,4,2,1,1,19,1,1,1,4,2,1,2
3,1,3,9,3,8,6,9,7,8,9,6,9,5,3,1,1,9,7,9,8,3,6,7,7,7,6,6,7,1,5,1,,0,3,2,1,38,1,7,2,4,2,3,4
9,9,7,9,9,8,1,9,3,9,9,9,3,7,3,4,6,8,3,8,9,6,2,6,4,5,5,5,4,5,5,3,,2,2,1,1,50,1,3,1,4,2,3,2
6,1,6,9,4,9,3,1,9,6,6,1,9,5,7,1,4,9,2,7,5,7,5,5,6,3,7,5,4,1,5,2,,2,3,2,1,18,1,1,1,4,2,1,2
1,1,1,9,1,9,1,9,9,1,9,1,9,1,9,1,1,9,1,9,9,1,1,6,3,1,6,7,3,5,7,2,,3,1,1,2,32,1,2,1,4,2,1,5
1,1,1,9,1,9,1,9,9,1,9,2,8,4,9,1,2,9,1,9,8,2,2,7,2,4,7,6,4,5,5,3,,2,2,1,1,33,1,12,1,4,2,3,3
6,8,9,1,8,1,9,1,4,9,4,9,1,7,1,9,9,4,7,2,1,6,4,2,6,3,3,6,7,2,7,5,,3,1,1,1,21,2,4,1,4,1,1,3
6,4,3,5,4,3,4,3,7,4,7,6,4,5,6,4,5,3,5,4,2,6,2,6,1,6,5,6,3,7,2,7,,2,3,1,2,21,1,1,1,4,2,1,1
3,1,1,8,1,9,2,8,8,1,8,2,8,2,8,1,1,9,2,8,8,2,5,3,6,4,6,6,5,2,6,2,,2,3,1,1,42,2,2,1,4,2,3,4
5,1,2,9,3,9,2,9,9,2,8,2,5,1,8,1,2,9,2,4,6,1,6,6,3,1,6,4,4,4,7,3,,3,3,1,2,29,1,2,1,4,0,1,2
6,5,2,7,8,5,5,5,5,6,7,7,4,6,5,2,4,4,6,7,5,4,5,5,7,5,6,4,4,5,4,5,,2,2,1,1,23,1,0,1,4,1,1,0
6,1,2,8,4,9,4,2,8,6,8,2,9,3,6,2,6,8,6,8,8,6,3,6,7,2,5,6,7,6,7,1,,1,2,1,2,14,1,2,1,1,2,1,2
2,1,1,8,1,9,1,9,6,1,9,2,9,1,7,1,8,9,1,9,8,1,7,5,5,5,6,3,3,1,3,1,,2,2,2,1,53,1,1,1,4,1,2,4
1,1,6,3,1,1,5,9,9,3,9,6,3,1,9,3,6,8,5,2,6,5,5,6,3,4,5,4,3,3,4,1,,2,2,1,2,21,1,1,1,4,2,1,3
2,1,1,9,2,9,1,8,9,1,9,1,9,1,9,1,1,9,1,9,9,1,2,6,3,6,7,5,6,7,5,1,,2,3,1,1,28,1,2,2,4,1,1,1
2,2,9,9,1,9,8,7,8,8,0,7,3,8,3,9,9,9,7,8,7,9,1,5,3,3,2,7,6,3,6,6,,2,3,1,2,52,1,2,1,4,1,2,4
2,2,1,8,2,9,2,8,8,2,9,2,8,5,9,2,2,8,2,9,8,1,3,5,6,2,7,7,7,4,7,2,,3,2,1,1,22,2,1,1,4,1,1,2
5,2,8,9,4,4,8,5,6,9,7,9,1,9,2,4,4,7,8,7,1,5,5,5,7,3,3,1,6,6,6,1,,2,2,1,1,17,1,4,1,4,2,1,2
3,2,8,9,3,5,8,6,8,3,8,3,5,5,7,1,2,8,7,6,5,8,7,2,7,5,7,3,6,5,6,1,,4,3,2,2,19,1,8,0,0,0,1,2
6,2,7,8,4,7,6,1,6,7,6,7,7,7,3,6,1,5,6,3,1,6,2,7,6,2,7,4,7,4,2,5,,3,1,1,1,17,2,1,2,4,1,1,5
1,1,1,9,2,8,1,8,9,1,9,3,9,2,9,1,1,9,1,9,9,1,2,6,2,6,5,3,4,7,1,1,,2,3,3,1,18,1,12,3,4,2,1,3
2,1,1,9,2,9,1,9,9,1,9,2,9,2,8,1,1,9,1,8,8,1,7,5,5,5,7,3,6,2,3,1,,1,0,2,1,16,1,2,1,4,2,1,2
1,1,1,9,1,9,1,9,9,1,9,1,9,1,9,1,1,9,1,9,9,1,3,6,2,5,5,3,5,3,3,5,,3,2,1,1,21,1,4,1,5,1,1,2
1,4,2,1,3,9,1,8,6,8,4,7,9,6,9,1,1,7,5,6,1,9,5,6,4,1,5,3,3,5,3,2,,2,1,1,1,20,1,2,1,4,2,1,2
6,5,8,7,1,7,9,1,1,9,3,9,2,5,1,6,5,1,6,4,1,8,5,7,7,3,4,5,3,3,5,6,,1,2,1,1,13,2,2,1,4,2,1,2
3,2,1,9,3,9,7,3,6,3,8,4,7,7,8,1,6,8,3,7,8,8,5,5,2,0,6,5,6,6,4,2,,3,1,1,1,18,1,1,3,4,2,1,1
6,3,3,4,2,3,2,6,8,6,6,6,5,6,4,3,6,7,4,6,4,4,3,2,7,2,7,3,3,2,6,3,,4,0,1,1,63,1,6,1,5,1,2,2
2,1,1,9,2,8,1,5,8,1,9,3,8,2,8,1,1,9,2,8,8,1,3,1,3,2,6,5,6,6,5,1,,2,2,2,1,57,1,1,1,4,1,3,3
2,1,1,9,5,7,2,8,5,7,9,5,4,3,4,1,1,8,1,9,7,2,1,5,2,7,1,7,1,6,2,3,,2,3,2,1,20,1,4,1,3,2,1,4
7,1,1,9,1,9,1,5,1,2,7,6,9,1,8,2,1,9,1,1,8,1,1,1,7,1,7,5,7,4,7,1,,3,2,2,1,67,1,2,1,4,1,2,2
2,1,1,9,2,8,1,8,9,1,9,2,8,1,8,1,1,9,1,8,8,1,1,1,7,1,7,7,7,6,7,2,,4,2,1,1,57,1,12,2,4,1,2,4
2,2,1,9,1,7,1,9,9,2,9,1,9,1,9,1,1,8,2,3,8,1,2,7,1,3,2,5,4,5,7,3,,2,3,1,2,47,2,2,1,5,2,1,2
5,1,1,9,1,9,1,9,9,1,9,1,9,1,9,1,1,9,1,9,9,1,4,4,7,4,7,7,7,2,7,1,,3,1,2,1,29,1,1,5,4,2,1,3
1,1,1,9,1,9,1,9,9,1,9,1,9,1,9,1,1,9,1,9,9,1,2,7,6,5,7,5,5,5,4,7,,3,2,2,1,45,1,1,1,4,2,3,3
3,1,4,8,5,4,4,5,6,3,9,7,7,4,5,3,4,9,3,7,8,3,3,1,5,4,5,6,5,1,6,3,,2,3,2,1,51,1,7,1,3,1,2,3
1,1,0,9,0,8,0,8,0,2,5,3,9,1,9,1,1,8,1,7,6,2,2,2,6,2,6,7,6,4,6,1,,3,2,1,1,65,1,2,1,4,1,1,4
2,1,1,8,3,7,1,5,0,2,8,4,7,1,7,1,1,9,1,8,7,2,2,1,6,3,7,7,6,5,6,1,,4,3,1,1,63,1,12,1,4,2,2,2
3,1,1,9,2,8,1,9,8,2,8,3,9,2,8,1,1,9,2,1,9,2,1,6,7,7,7,7,2,1,3,1,,4,1,1,1,65,1,2,1,4,1,2,5
1,2,2,9,1,9,1,5,9,7,9,1,9,5,9,1,1,9,1,8,9,1,2,6,6,4,7,7,2,4,7,1,,1,2,1,1,13,1,1,2,4,2,1,3
5,2,9,4,3,5,7,8,8,6,6,3,4,8,8,2,8,6,4,3,2,8,4,6,5,2,6,6,3,5,6,2,,4,3,2,2,27,1,1,2,1,2,1,1
1,1,1,9,1,9,1,7,9,1,9,2,9,1,9,1,1,9,1,9,9,1,6,2,5,1,7,5,6,2,6,2,,3,2,2,1,55,1,2,1,4,1,3,6
3,1,5,7,2,9,6,7,4,3,4,3,7,6,7,1,1,6,4,5,4,4,1,5,5,3,5,6,3,3,6,4,,2,3,1,1,19,1,2,1,5,1,1,1
1,1,1,9,1,9,2,9,9,1,9,3,8,2,7,1,1,9,1,9,7,1,6,7,5,5,6,1,6,3,5,1,,1,2,1,1,15,1,4,3,1,2,1,2
3,1,1,7,1,7,1,8,7,2,9,3,7,6,8,1,1,9,1,9,7,1,5,2,7,1,6,7,6,3,7,1,,3,3,1,1,21,1,1,1,1,2,1,2
4,1,1,9,3,9,2,9,9,2,9,2,9,2,8,1,2,9,2,5,7,2,1,3,6,4,3,7,3,5,6,3,,3,2,1,1,30,1,2,1,4,2,1,3
9,7,8,2,9,6,9,7,4,8,6,8,1,9,3,4,7,4,8,5,1,9,6,7,7,2,5,3,2,2,6,5,,2,3,1,1,14,1,3,1,1,2,1,2
2,1,1,9,2,9,1,9,9,1,9,1,8,1,9,1,1,9,1,8,9,1,1,7,2,7,6,7,3,7,2,2,,3,2,1,1,37,1,2,1,4,1,1,3
1,1,1,9,1,9,1,5,8,1,8,1,9,1,8,1,8,9,1,8,8,2,5,6,7,6,6,6,6,2,2,3,,2,2,2,2,19,1,1,2,5,2,1,2
2,1,1,8,3,1,1,8,9,1,9,2,8,1,4,1,1,9,2,8,7,1,4,4,6,2,7,5,4,2,6,4,,3,1,1,2,48,1,6,1,0,1,3,3
4,8,8,7,7,4,9,8,7,8,7,8,7,8,6,4,6,2,7,2,1,8,1,5,7,2,5,7,6,1,6,1,,2,1,2,1,20,1,12,1,4,1,1,1
3,9,9,1,8,4,7,1,6,4,2,8,2,7,4,9,6,3,6,1,1,7,0,0,0,0,0,0,0,0,0,0,,2,2,1,2,19,1,10,1,1,2,1,4
3,1,1,9,2,9,8,9,8,1,9,2,8,1,8,1,1,9,1,8,9,1,5,2,1,4,7,5,3,7,4,1,,4,2,1,1,55,1,2,1,4,2,2,3
4,2,2,9,5,9,2,7,8,6,9,3,8,3,5,1,3,9,1,8,9,2,4,7,1,5,7,6,4,7,3,1,,1,3,2,2,15,1,2,2,2,2,1,2
1,1,1,9,1,9,1,9,9,1,9,1,9,1,9,1,1,9,1,9,5,1,3,3,3,5,5,6,3,6,6,1,,2,2,3,1,49,2,12,5,4,2,1,3
4,2,5,9,3,8,6,8,7,6,7,4,7,3,4,1,3,9,2,9,4,3,3,1,5,1,7,5,6,5,6,3,,3,1,2,1,47,3,2,1,4,1,1,4
2,1,1,9,1,5,1,9,9,1,9,1,9,1,9,1,4,9,1,9,9,2,5,7,5,7,7,5,6,7,5,2,,2,1,2,2,25,1,2,5,4,2,1,4
3,1,3,8,6,9,6,5,7,3,8,4,4,3,7,2,2,9,6,8,6,5,7,3,6,4,6,2,6,4,5,4,,2,3,2,1,17,1,1,1,4,2,1,2
2,1,7,9,5,9,3,3,8,5,7,2,7,2,9,4,3,9,2,9,7,3,2,2,5,6,5,5,7,5,2,1,,0,2,3,1,15,1,7,4,4,2,1,3
3,1,3,8,2,8,2,5,7,2,8,2,9,2,7,1,3,8,2,8,8,2,1,3,6,4,5,7,3,2,7,2,,2,2,2,1,16,1,2,1,4,2,1,3
5,1,3,9,3,8,3,5,7,3,5,3,8,2,9,1,1,9,5,6,8,1,2,5,5,2,6,7,6,2,6,1,,3,0,2,1,50,1,2,1,4,2,0,2
7,3,2,8,6,5,3,7,8,2,5,2,4,3,2,2,5,8,2,9,3,5,2,1,2,3,6,5,3,2,6,3,,2,2,1,1,19,1,12,1,4,2,1,3
1,1,1,9,1,9,1,9,9,1,9,1,9,1,9,1,1,9,1,9,9,1,1,7,6,6,7,7,2,5,4,1,,2,3,2,1,20,1,2,2,4,2,1,1
3,7,5,7,1,8,2,4,9,9,8,4,9,6,8,1,1,3,1,8,2,6,1,6,2,5,6,7,1,2,4,1,,2,1,1,1,17,1,2,1,4,2,1,2
1,1,1,9,2,9,1,8,9,1,9,2,9,1,9,1,2,9,1,9,9,1,4,3,7,5,6,6,7,5,6,4,,3,1,2,1,35,1,1,1,4,1,2,3
2,1,1,8,1,9,2,1,9,1,7,2,8,1,6,9,2,9,1,8,7,1,5,5,6,4,6,2,6,2,6,3,,3,3,1,2,27,2,2,2,4,1,1,1
3,1,8,5,3,2,6,8,9,9,7,7,8,8,8,2,9,9,8,3,3,8,5,6,6,6,6,6,4,5,3,2,,2,3,1,2,18,1,7,1,4,1,1,1
1,1,1,9,1,9,1,9,9,1,9,2,9,1,9,1,1,9,1,8,9,1,1,7,6,6,6,3,3,1,2,1,,3,2,2,1,60,2,2,3,4,2,2,3
8,8,8,1,8,3,8,4,2,4,2,8,8,8,2,8,8,2,6,9,1,7,1,6,5,7,5,5,1,6,6,3,,2,2,1,2,18,1,1,1,4,2,1,1
6,1,1,9,6,9,6,4,7,1,7,3,9,6,6,1,1,9,3,7,8,1,2,2,6,5,7,6,6,5,6,5,,3,2,1,1,62,1,2,1,4,1,2,4
2,2,3,9,1,8,2,7,8,2,8,2,8,4,8,2,2,9,2,8,8,1,3,3,6,3,7,6,6,2,5,2,,2,2,2,1,21,1,1,2,4,1,1,2
2,1,1,7,1,7,1,9,7,1,9,1,6,1,6,1,1,9,1,6,6,1,3,6,5,7,6,3,1,2,2,1,,3,2,2,1,27,1,2,2,4,1,1,2
2,1,1,7,1,4,2,5,8,6,7,2,9,1,8,2,2,9,2,6,5,2,1,7,5,5,4,7,4,4,4,6,,0,2,2,1,62,1,6,1,4,1,1,5
2,1,2,8,2,8,1,8,8,3,8,2,9,3,8,1,2,9,2,8,9,1,2,2,6,7,6,7,7,1,2,1,,3,2,2,1,26,1,2,1,4,1,1,3
2,1,2,9,2,9,1,9,9,2,9,2,9,2,9,1,4,9,1,8,9,1,7,2,6,3,6,2,7,1,6,2,,3,1,1,1,56,1,6,3,4,1,1,1
5,2,8,9,5,5,6,5,6,5,8,5,7,8,5,1,5,9,2,8,7,5,2,4,3,5,6,7,6,6,4,2,,3,2,2,2,17,1,1,5,1,2,1,3
1,1,1,9,1,9,1,9,9,1,9,2,9,1,9,1,1,9,1,9,9,1,3,3,6,6,6,3,7,3,3,3,,4,0,2,1,66,2,2,1,4,1,2,3
6,2,4,8,6,7,7,5,3,7,8,6,8,7,3,2,4,8,5,8,6,4,3,5,6,6,4,7,5,5,7,1,,2,2,1,2,18,1,1,1,4,2,1,3
6,1,1,9,2,9,1,8,7,3,9,1,9,3,8,1,1,9,1,7,7,2,1,4,2,6,3,7,4,6,2,5,,4,1,1,2,34,1,2,1,4,2,1,5
7,3,9,9,7,8,8,3,6,6,7,7,4,9,4,4,7,6,8,3,4,7,3,5,6,3,5,7,7,5,5,3,,2,3,1,1,18,1,6,1,4,2,1,3
1,1,1,8,1,9,1,9,9,1,9,2,8,1,8,1,1,9,1,9,8,1,1,3,3,6,6,7,6,6,7,1,,3,1,1,1,64,2,1,1,4,1,2,3
2,1,1,9,2,9,2,8,9,1,9,1,9,2,8,1,1,9,2,9,8,1,2,5,5,6,5,6,5,5,5,3,,4,3,2,1,48,1,1,1,3,1,1,3
1,1,1,9,1,9,1,9,9,1,9,1,9,9,9,1,1,9,1,9,9,1,3,7,6,1,7,2,6,6,7,1,,4,1,1,2,40,1,2,1,5,2,2,3
6,5,5,3,2,9,3,9,6,5,3,6,9,5,6,5,5,6,4,9,1,7,6,6,4,1,6,6,4,4,7,1,,3,1,1,1,41,1,1,1,4,2,3,3
1,1,1,9,1,9,1,6,4,1,9,3,8,2,8,2,1,9,1,9,7,1,5,5,6,3,7,6,6,3,4,2,,2,3,2,1,17,1,1,1,1,2,1,2
5,3,7,4,3,4,4,3,8,6,5,3,6,5,5,2,4,7,3,6,3,4,2,6,5,7,5,4,4,2,2,2,,2,2,2,1,27,1,2,2,4,2,2,3
2,1,1,9,1,9,1,3,9,9,9,2,9,8,6,1,1,9,6,9,9,1,7,5,5,2,7,1,7,1,6,5,,1,2,2,1,15,1,8,3,1,2,1,2
3,7,6,3,4,5,8,3,5,8,3,8,4,7,5,6,7,4,5,7,2,8,3,6,6,2,6,5,5,6,6,2,,4,2,1,1,40,1,2,1,4,2,2,2
5,9,9,3,2,9,9,1,7,9,6,9,4,9,5,1,6,1,9,5,1,1,1,7,7,1,5,7,4,4,7,6,,1,1,2,1,16,0,6,1,4,2,1,2
2,1,1,9,2,9,1,8,9,1,9,3,1,1,9,1,1,9,1,9,8,1,3,1,6,3,6,6,6,1,6,5,,3,2,1,1,49,1,4,3,4,2,2,1
3,1,1,9,5,9,1,9,9,1,8,1,9,1,8,1,2,9,1,8,8,2,5,5,5,3,5,4,4,3,5,3,,3,2,1,2,55,1,2,1,4,1,1,4
9,7,9,6,8,6,9,3,2,6,6,9,4,9,2,4,6,6,9,5,2,9,7,5,7,2,5,1,1,3,6,4,,3,2,1,1,29,2,4,1,4,2,1,3
5,2,4,8,4,5,4,7,8,3,9,5,8,5,5,1,5,9,3,8,6,2,3,5,4,2,7,5,4,5,6,3,,4,3,1,2,35,1,4,1,4,2,1,2
3,1,1,8,2,9,4,4,9,3,8,5,2,5,9,2,3,9,3,9,8,5,7,2,7,2,7,5,6,6,7,1,,1,3,1,2,15,1,2,3,4,2,1,3
8,1,1,9,6,9,2,9,8,2,9,2,9,3,8,1,1,9,3,7,9,1,2,7,2,7,5,6,4,6,1,3,,3,2,1,1,23,2,2,2,4,2,1,1
